;Species;Month;Day;Year;CaptureTime;ReleaseTime;BandNumber;Age;Sex;Wing;Weight;Culmen;Hallux;Tail;StandardTail;Tarsus;WingPitFat;KeelFat;Crop
1;RT;9;19;1992;13:30:00;;877-76317;1;;385;920;25.7;30.1;219;NA;NA;NA;NA;NA
2;RT;9;22;1992;10:30:00; ;877-76318;1;;376;930;NA;NA;221;NA;NA;NA;NA;NA
3;RT;9;23;1992;12:45:00; ;877-76319;1;;381;990;26.7;31.3;235;NA;NA;NA;NA;NA
4;CH;9;23;1992;10:50:00; ;745-49508;1;2;265;470;18.7;23.5;220;NA;NA;NA;NA;NA
5;SS;9;27;1992;11:15:00; ;1253-98801;1;2;205;170;12.5;14.3;157;NA;NA;NA;NA;NA
6;RT;9;28;1992;11:25:00; ;1207-55910 ;1;;412;1090;28.5;32.2;230;NA;NA;NA;NA;NA
7;RT;9;28;1992;13:30:00; ;877-76320;1;;370;960;25.3;30.1;212;NA;NA;NA;NA;NA
8;RT;9;29;1992;11:45:00; ;877-76321;2;;375;855;27.2;30;243;NA;NA;NA;NA;NA
9;RT;9;29;1992;15:35:00; ;877-76322;2;;412;1210;29.3;31.3;210;NA;NA;NA;NA;NA
10;RT;9;30;1992;13:45:00; ;1207-55911;1;;405;1120;26;30.2;238;NA;NA;NA;NA;NA
11;RT;10;5;1992;13:30:00; ;877-76323;1;;393;1010;26.3;30.8;222;NA;NA;NA;NA;NA
12;RT;10;8;1992;13:45:00; ;877-76324;1;;371;1010;25.4;29.7;217;NA;NA;NA;NA;NA
13;RT;10;9;1992;12:30:00; ;877-76325;2;;390;1120;28.9;30.9;213;NA;NA;NA;NA;NA
14;RT;10;10;1992;11:05:00; ;1207-55917;2;;393;NA;28.2;30.6;238;NA;NA;NA;NA;NA
15;RT;10;11;1992;11:00:00; ;1207-55912;1;;416;1170;26.5;34;243;NA;NA;NA;NA;NA
16;RT;10;11;1992;11:45:00; ;1207-55913;2;;436;1390;30.5;34;232;NA;NA;NA;NA;NA
17;RT;10;11;1992;12:40:00; ;877-76326;1;;418;1150;27.1;31;238;NA;NA;NA;NA;NA
18;RT;10;11;1992;14:20:00; ;877-76327;2;;381;950;28.9;28.9;202;NA;NA;NA;NA;NA
19;RT;10;12;1992;13:40:00; ;877-76328;1;;378;910;25.7;28.2;227;NA;NA;NA;NA;NA
20;RT;10;13;1992;11:00:00; ;877-76329;1;;396;1010;24;26.9;227;NA;NA;NA;NA;NA
21;RT;10;13;1992;14:50:00; ;877-76330;1;;399;1070;26.4;31.2;222;NA;NA;NA;NA;NA
22;RT;10;14;1992;13:15:00; ;877-76331;1;;416;1190;28.8;31.6;237;NA;NA;NA;NA;NA
23;RT;10;17;1992;12:10:00; ;877-76332;1;;415;101;24.9;30.7;238;NA;NA;NA;NA;NA
24;RT;10;22;1992;13:05:00; ;877-76333;2;;392;1330;27;30.3;213;NA;NA;NA;NA;NA
25;RT;10;23;1992;11:45:00; ;877-76334;1;;380;990;26;30;211;NA;NA;NA;NA;NA
26;SS;10;23;1992;16:05:00; ;1173-19901;1;1;173;100;NA;NA;130;NA;NA;NA;NA;NA
27;RT;10;24;1992;14:35:00; ;877-76335;1;;399;1100;26.2;32.5;190;NA;NA;NA;NA;NA
28;RT;10;25;1992;12:05:00; ;1207-55914;2;;401;1190;28.6;31.6;245;NA;NA;NA;NA;NA
29;SS;10;27;1992;10:05:00; ;1253-98802;1;2;205;180;11.7;15;164;NA;NA;NA;NA;NA
30;RT;10;27;1992;10:45:00; ;608-48703;1;;427;1490;30.1;32.4;246;NA;NA;NA;NA;NA
31;RT;10;27;1992;15:15:00; ;1207-55915;2;;395;1040;27.1;31.4;207;NA;NA;NA;NA;NA
32;RT;10;30;1992;11:05:00; ;877-76336;1;;362;820;24.9;27.9;209;NA;NA;NA;NA;NA
33;RT;11;3;1992;10:15:00; ;1207-55916;2;;396;1030;26;29.7;200;NA;NA;NA;NA;NA
34;RT;11;8;1992;11:45:00; ;1207-55918;2;;391;1300;25.5;32.4;215;NA;NA;NA;NA;NA
35;RT;11;8;1992;13:30:00; ;1207-55919;2;;413;1500;26.5;31.3;219;NA;NA;NA;NA;NA
36;RT;11;13;1992;10:45:00; ;987-53707;2;;371;1080;25.3;27.2;198;NA;NA;NA;NA;NA
37;RT;11;16;1992;11:15:00; ;1207-55920;2;;385;1320;27.3;30.1;207;NA;NA;NA;NA;NA
38;RT;11;21;1992;14:00:00; ;877-76337;2;;378;1490;25.4;31.3;204;NA;NA;NA;NA;NA
39;RT;11;22;1992;10:08:00; ;1207-55921;2;;416;1500;29.1;30.8;205;NA;NA;NA;NA;NA
40;SS;9;13;1993;14:25:00; ;173-19904;1;1;193;100;9.3;101;144;NA;NA;NA;NA;NA
41;SS;9;17;1993;15:25:00; ;193-19905;1;1;171;88;9.7;11.5;136;NA;NA;NA;NA;NA
42;CH;9;20;1993;13:45:00; ;120407-804;1;;233;324;16;19.3;191;NA;NA;NA;NA;NA
43;RT;9;21;1993;15:11:00; ;877-76339;1;;384;1060;26.1;31.2;230;NA;NA;NA;NA;NA
44;RT;9;22;1993;13:50:00; ;877-76340;1;;382;1140;25.1;29.4;227;NA;NA;NA;NA;NA
45;RT;9;22;1993;15:55:00; ;877-76341;1;;390;1030;27.6;30.3;208;NA;NA;NA;NA;NA
46;RT;9;27;1993;12:15:00; ;877-76342;1;;390;1000;25.1;28.3;231;NA;NA;NA;NA;NA
